created_at, id, text, user_id, user_name, user_screen_name, user_location, user_followers_count, user_friends_count, user_created_at, user_time_zone, user_profile_background_color, user_profile_image_url, geo, coordinates, place
Wed Apr 06 23:25:42 +0000 2016, 717855834215059500, #Dothan #Jobs Lease Purchase Truck Driver Jobs - https://t.co/Fd2jCXQAPs (Troy, AL): Seeking Drivers interested ... https://t.co/fFzbIWB2jV, 2433825260, Dothan Jobs, DothanJobs_, 383, 928, Tue Apr 08 15:58:24 +0000 2014, Athens, C0DEED, http://pbs.twimg.com/profile_images/453563294763081728/A4ykBgHD_normal.jpeg, null, null, null
Wed Apr 06 23:25:41 +0000 2016, 717855830423445500, #Job #Dothan Lease Purchase Truck Driver Jobs - https://t.co/HkI1UCGf56 (Troy, AL): Seeking Drivers interested i... https://t.co/hvWeAKJK08, 2381554939, Jobs in Dothan, Jobs_Dothan, 339, 600, Mon Mar 10 05:02:45 +0000 2014, Amsterdam, C0DEED, http://pbs.twimg.com/profile_images/442888588154241024/OgdyVM2W_normal.jpeg, null, null, null
Wed Apr 06 23:25:20 +0000 2016, 717855740623503400, @anklesau @tuscany14 your new Troy Bolton, 361989532, geeblack, georgiaflo1, 519, 1074, Thu Aug 25 17:27:49 +0000 2011, null, C0DEED, http://pbs.twimg.com/profile_images/714631316734656512/vD4VmpCF_normal.jpg, null, null, null
Wed Apr 06 23:25:17 +0000 2016, 717855726694039600, #cec222 prelab time! @fenner_troy explains. Should be a hashtag #TroyExplainsItAll. I want it trending by tomorrow. https://t.co/mAr5AGEpcu, 2581387722, Akhan, almagambetov, 62, 114, Sun Jun 22 02:16:24 +0000 2014, Arizona, C0DEED, http://pbs.twimg.com/profile_images/705884240894767104/vsmu8TiX_normal.jpg, null, null, null
Wed Apr 06 23:25:07 +0000 2016, 717855687057932300, @Troy_Rudolph Germs? No! Germs bad!, 224888238, Laura S, geekgirl1138, 153, 205, Fri Dec 10 03:39:15 +0000 2010, Pacific Time (US & Canada), C0DEED, http://pbs.twimg.com/profile_images/633164137917378560/ZUhqn1T4_normal.jpg, null, null, null
Wed Apr 06 23:24:43 +0000 2016, 717855585392308200, @takamura_1 nah i hate mason and troy, 270065505, Manik, Maniklite, 553, 248, Mon Mar 21 23:00:54 +0000 2011, Eastern Time (US & Canada), 000000, http://pbs.twimg.com/profile_images/717775873710096384/OieYKglQ_normal.jpg, null, null, null
Wed Apr 06 23:24:40 +0000 2016, 717855572729704400, Troy Bolton y Gabriela Montes https://t.co/SwVMEZtNni, 4865062918, panchi, H4RRYSM1LES, 285, 494, Sat Jan 30 20:36:05 +0000 2016, Pacific Time (US & Canada), F5F8FA, http://pbs.twimg.com/profile_images/716306054385111040/ywonmpo3_normal.jpg, null, null, null
Wed Apr 06 23:24:11 +0000 2016, 717855452185268200, RT @lexi4prez: Plus her and Ryan had actual stage presence and originality and all Troy and Gabriella did was sing about love on a piano, 265155979, Iman, ImanBeydoun, 642, 196, Sun Mar 13 03:20:26 +0000 2011, Atlantic Time (Canada), C0DEED, http://pbs.twimg.com/profile_images/711646715837698048/Zr8DJX8f_normal.jpg, null, null, null
Wed Apr 06 23:24:09 +0000 2016, 717855442605514800, RT @lexi4prez: is anyone else mad Sharpay &amp; Ryan worked for years to be in the musical then Troy &amp; Gabriella just swooped in and stole ever…, 265155979, Iman, ImanBeydoun, 642, 196, Sun Mar 13 03:20:26 +0000 2011, Atlantic Time (Canada), C0DEED, http://pbs.twimg.com/profile_images/711646715837698048/Zr8DJX8f_normal.jpg, null, null, null
Wed Apr 06 23:23:58 +0000 2016, 717855397353242600, RT @monusko215: Nathan likes the Troy &amp; Gabriella version of "What I've Been Lookin' For" more than the Sharpay &amp; Ryan version https://t.co…, 2445864055, rachael, rachaelclickkk, 254, 234, Tue Apr 15 19:01:46 +0000 2014, null, C0DEED, http://pbs.twimg.com/profile_images/717855248417734656/Uq5ZJx48_normal.jpg, null, null, null
Wed Apr 06 23:23:48 +0000 2016, 717855357163294700, RT @MOVIEMEMORlES: where can I find my Troy Bolton? https://t.co/0GaHDl8lVS, 2955066046, Abbey, Camila5h43, 398, 675, Thu Jan 01 16:16:53 +0000 2015, null, C0DEED, http://pbs.twimg.com/profile_images/702689034854793221/IPkgTPrb_normal.jpg, null, null, null
Wed Apr 06 23:23:45 +0000 2016, 717855343477260300, @MarcZen10 apparently you're a rare breed. Troy last night asked if all girls get their eyebrows done then said "guys never notice", 77992081, Ally, _allywhite, 621, 602, Mon Sep 28 11:45:59 +0000 2009, Alaska, ACDED6, http://pbs.twimg.com/profile_images/690112544791486465/aK6BTM0C_normal.jpg, null, null, null
Wed Apr 06 23:23:44 +0000 2016, 717855339698372600, Lmao I cant make this stuff up https://t.co/gEEOl8D34y, 136122793, Justine Gauckler, chnkymnky4eva, 304, 1278, Fri Apr 23 02:42:36 +0000 2010, America/New_York, 352726, http://pbs.twimg.com/profile_images/716011579678982144/w6ZbI_7i_normal.jpg, null, null, null
Wed Apr 06 23:23:41 +0000 2016, 717855325848739800, RT @lexi4prez: is anyone else mad Sharpay &amp; Ryan worked for years to be in the musical then Troy &amp; Gabriella just swooped in and stole ever…, 2641970692, baby cozart, electraprincesa, 226, 235, Wed Jun 25 22:13:23 +0000 2014, Pacific Time (US & Canada), C0DEED, http://pbs.twimg.com/profile_images/695755056516358144/2knh93L6_normal.jpg, null, null, null
Wed Apr 06 23:23:34 +0000 2016, 717855297403011100, @ItsTroyYoung you might die... But hey , at least you opened your heart like a lung, 1323629126, Thank you Dylan, Hug_Me_Troy_, 788, 1407, Wed Apr 03 01:39:43 +0000 2013, Pacific Time (US & Canada), ACDED6, http://pbs.twimg.com/profile_images/715766517883871233/qT758p68_normal.jpg, null, null, null